type,subtype,name,F Day,F Night,H Day,H Night,M Day,M Night,freq.glob,standard,RT,RI,CAS
aliphatic,alcohol,4-methylpentan-1-ol,1.401453086635515,1.259330198044757,0.43418946313174667,0.25188261424839836,0.4194580185055917,0.17259473292432997,0.77,Hexenol,5.471,836.4985163204748,626-89-1
aliphatic,alcohol,4-methylhexan-1-ol,0.3606650412374333,0.2977068900475652,0.03913528830613382,0.04245493197929912,0.06649429345724409,0.010997200258075572,0.64,Hexenol,7.401,947.1749862863412,1767-46-0
aliphatic,alcohol,3-methylbutan-1-ol,0.20986984033125608,0.43461804196069964,0.24955764849667747,0.34770693448065065,1.9098867076040749,2.16098962565757,0.58,Hexenol,3.753,730.1456618112729,123-51-3
aliphatic,alcohol,oct-1-en-3-ol,0.1355228903857898,0.06713678227994391,0.11457889453588528,0.018488033177648033,0.28500130064214324,0.1832092655640741,0.54,Hexenol,8,980.03291278113,3391-86-4
aliphatic,alcohol,"2,7-dimethyloctane-4,5-diol",0.0034814039689675304,0.08621646728303087,0,0.18741259117786022,0.007777065122545184,0.11861498448844855,0.44,Hexenol,7.472,951.0696653867252,NA
aliphatic,alcohol,pentan-1-ol,0.0803229458911647,0.20268813132674804,0.017492793333126814,0.17292135190935895,0.03978626161733641,0.07746834646640398,0.34,Hexenol,3.7665,731.0006333122229,71-41-0
aliphatic,aldehyde,3-methylbutanal,0.4907250880209224,1.6304970072712337,0.37131363743189466,1.0477749879506406,1.7672702556776894,3.4980735803636454,0.98,Hexenol,2.7,648.3899821109123,590-86-3
aliphatic,aldehyde,(E)-hex-2-enal,0.07396199892561817,0.03849612337629278,0.023127319142236293,0.014222863209054398,0.07112848052479218,0.07620113160326482,0.43,Hexenol,5.755,853.353115727003,6728-26-3
aliphatic,aldehyde,(Z)-hept-2-enal,0.011917564756434233,0,0,0,0.10093719073028204,0.028973692294766745,0.15,Hexenol,7.604,958.3104772353264,57266-86-1
aliphatic,alkane,"2,3-dimethylpentane",0.012449242490432742,0.09933217390501521,0.035315931264658526,0,0.05635007545098059,0.016027803230890064,0.21,Hexenol,7.57,956.4454196379594,565-59-3
aliphatic,alkene,"2,5,5-trimethylhex-2-ene",0.01024879608763523,0.012506289478721164,0,0,0.011920480888024316,0.013427084922287693,0.14,Hexenol,7.9115,975.1782775644542,40467-04-7
