n,name,name2,initials,IUPAC,type,subtype,mean,freq.glob
102,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-",,,,,,0.000,0.00
103,"Butanal, 3-methyl-",,3mb,3-methylbutanal,aliphatic,aldehyde,11.846,0.98
104,"Butanal, 3-methyl-, oxime",(E)-3-methylbutyraldoxime,Emba,N-(3-methylbutylidene)hydroxylamine,N-compound,aldoxime,66.831,0.96
105,"Butane, 2,2-dimethyl-",,,,,,0.000,0.00
106,"Butanenitrile, 2-methyl-",,2mbn,2-methylbutanenitrile,N-compound,nitrile,0.153,0.37
107,"Butanenitrile, 3-methyl-",isovaleronitrile,ivni,3-methylbutanenitrile,N-compound,nitrile,10.010,0.96
108,"Butanoic acid, 2,2-dimethyl-3-oxo-, methyl ester",,,,,,0.143,0.01
109,"Butanoic acid, 3-hydroxy-3-methyl-",,,,,,0.511,0.03
110,"Butyl aldoxime, 2-methyl-, syn-",2-methylbutyraldoxime,2mba,N-(2-methylpropylidene)hydroxylamine,N-compound,aldoxime,0.693,0.61
111,"Butyl aldoxime, 3-methyl-, syn-",(Z)-3-methylbutyraldoxime,Zmba,N-(3-methylbutylidene)hydroxylamine,N-compound,aldoxime,62.054,0.52
112,"Butyric acid, 3-methylthio-, S-propyl ester",,,,,,0.040,0.03
113,"Carbonic acid, isobutyl undec-10-enyl ester",,,,,,0.000,0.00
114,"Carbonic acid, undecyl vinyl ester",,,,,,0.018,0.03
115,Copaene,,,,,,0.000,0.00
116,Cyclododecanol,,,,,,0.089,0.04
117,Cycloeicosane,,,,,,0.000,0.00
118,Cyclohexadecanone,,,,,,0.000,0.00
119,"Cyclopentane, (2-methylbutyl)-",,,,,,0.000,0.00
120,"Cyclopentane, 1-acetyl-1,2-epoxy-",,,,,,0.008,0.01
121,"Cyclopentane, 3-hexyl-1,1-dimethyl-",,,,,,0.000,0.00
122,Cyclopentanone,,cpen,cyclopentanone,aliphatic,ketone,0.437,0.10
123,"Cyclopentanone, 2-ethyl-",,ecpo,2-ethylcyclopentan-1-one,aliphatic,ketone,1.197,0.80
124,"Cyclopropanemethanol, .alpha.-butyl-",,,,,,0.000,0.00
125,"Decane, 2,3,5-trimethyl-",,,,,,0.077,0.01
126,Decyl heptyl ether,,,,,,0.000,0.00
127,"Dichloroacetic acid, 2-tetrahydrofurylmethyl ester",,,,,,0.000,0.00
128,"Dodecanoic acid, methyl ester",,,,,,0.000,0.00
129,Eicosyl heptyl ether,,,,,,0.000,0.00
130,"ethanone, 2,2-dichloro-2-fluoro-1-phenyl-",,,,,,0.000,0.00
131,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,linalool oxide (furanoid),lofu,2-(5-ethenyl-5-methyloxolan-2-yl)propan-2-ol,terpene,cyclic monoterpene alcohol,1.600,0.04
132,Farnesol isomer a,,,,,,0.007,0.01
133,"Formamide, N-phenyl-",,,,,,0.000,0.00
134,"Formic acid, 2-propylpentyl ester",,,,,,0.275,0.01
135,"Formic acid, butyl ester",,,,,,0.475,0.03
136,Furaneol,,,,,,0.099,0.03
137,"Furazan-3-carboxamide, 4-amino-N-(2-tetrahydrofurfuryl)-",,,,,,0.000,0.00
138,"Guanidine, monothiocyanate",,,,,,0.123,0.04
139,"Heptane, 3,4-dimethyl-",,,,,,0.000,0.00
140,"Heptane, 4-methyl-",,,,,,0.242,0.03
141,Heptyl tetracosyl ether,,,,,,0.000,0.00
142,"Hexanal, 5-methyl-",,5mhe,5-methylhexanal,aliphatic,aldehyde,0.153,0.05
143,Hexyl chloroformate,,hccl,hexyl carbonochloridate,aliphatic,ester,0.447,0.14
144,Indole,,,,,,0.000,0.00
145,Isobutyl octyl carbonate,,,,,,0.420,0.01
146,Isobutyronitrile,isobutyronitrile,ibni,2-methylpropanenitrile,N-compound,nitrile,0.736,0.74
147,Linalool,linalool,lina,"3,7-dimethylocta-1,6-dien-3-ol",terpene,acyclic monoterpene alcohol,14.652,0.80
